#mV	V	mA	mA	kOhm	V	V
#Vb1	Vb2	Ik1	Ik2	R1	Vce1	Vce2
830	0.157	2.68	0	2	0.046	6.095
813	0.154	2.68	0	4	0.053	6.096
804	0.156	2.68	0	6	0.059	6.097
798	0.160	2.679	0	8	0.066	6.099
795	0.165	2.677	0	10	0.072	6.101
792	0.170	2.675	0	12	0.079	6.101
790	0.177	2.673	0	14	0.087	6.102
788	0.185	2.671	0	16	0.096	6.102
787	0.196	2.668	0	18	0.107	6.101
785	0.211	2.663	0	20	0.123	6.098
784	0.246	2.653	0	22	0.158	6.087
784	0.254	2.65	0	22.2	0.166	6.079
783	0.265	2.647	0	22.4	0.178	6.071
783	0.284	2.641	0	22.6	0.198	6.056
782	0.361	2.618	0	22.8	0.275	5.98
812	3.597	0	78.6	23	0.950	0.297
781	3.597	0	78.6	24	0.950	0.297
752	3.597	0	78.6	25	0.950	0.297
726	3.597	0	78.6	26	0.950	0.297
677	3.597	0	78.6	28	0.950	0.297
597	3.597	0	78.6	32	0.950	0.297
534	3.597	0	78.6	36	0.950	0.297
483	3.597	0	78.6	40	0.950	0.297
390	3.597	0	78.6	50	0.950	0.297
